16,"H02{0.082232, 0, -0.286778}"
16,"H13{1.870443, 0, -2.550673}"
16,"H23{1.982388, 0, -1.631766}"
16,"H24{2.530886, 0, -2.020011}"
16,"H35{2.252822, 0, 0.588122}"
16,"H45{2.82984, 0, 0.361297}"
17,"P0{0, 0, 0}"
17,"P1{-0.1453, 0, -1.1232}"
17,"S01{0.467944, 0, -1.530575}"
17,"H02{0.087225, 0, -0.285299}"
17,"H13{1.912113, 0, -2.489931}"
17,"H23{2.027674, 0, -1.571472}"
17,"H24{2.587804, 0, -1.942739}"
17,"H35{2.306846, 0, 0.647334}"
17,"H45{2.890473, 0, 0.4381}"
18,"P0{0, 0, 0}"
18,"P1{-0.1453, 0, -1.1232}"
18,"S01{0.494585, 0, -1.522175}"
18,"H02{0.092191, 0, -0.283733}"
18,"H13{1.950657, 0, -2.430053}"
18,"H23{2.069771, 0, -1.512049}"
18,"H24{2.64062, 0, -1.866614}"
18,"H35{2.357528, 0, 0.705661}"
18,"H45{2.947075, 0, 0.51374}"
19,"P0{0, 0, 0}"
19,"P1{-0.1453, 0, -1.1232}"
19,"S01{0.521075, 0, -1.513312}"
19,"H02{0.097128, 0, -0.282081}"
19,"H13{1.986292, 0, -2.371085}"
19,"H23{2.10891, 0, -1.453542}"
19,"H24{2.68963, 0, -1.791695}"
19,"H35{2.40513, 0, 0.763053}"
19,"H45{2.99995, 0, 0.588158}"
20,"P0{0, 0, 0}"
20,"P1{-0.1453, 0, -1.1232}"
20,"S01{0.547407, 0, -1.503987}"
20,"H02{0.102037, 0, -0.280343}"
20,"H13{2.019219, 0, -2.313057}"
20,"H23{2.145302, 0, -1.395983}"
20,"H24{2.73511, 0, -1.718024}"
20,"H35{2.449891, 0, 0.819477}"
20,"H45{3.049378, 0, 0.661312}"
21,"P0{0, 0, 0}"
21,"P1{-0.1453, 0, -1.1232}"
21,"S01{0.573571, 0, -1.494205}"
21,"H02{0.106914, 0, -0.27852}"
21,"H13{2.049625, 0, -2.255986}"
21,"H23{2.179143, 0, -1.339392}"
21,"H24{2.777312, 0, -1.645623}"
21,"H35{2.492032, 0, 0.874911}"
21,"H45{3.095614, 0, 0.733176}"
22,"P0{0, 0, 0}"
22,"P1{-0.1453, 0, -1.1232}"
22,"S01{0.599562, 0, -1.483967}"
22,"H02{0.111758, 0, -0.276611}"
22,"H13{2.077683, 0, -2.199882}"
22,"H23{2.210616, 0, -1.283776}"
22,"H24{2.816471, 0, -1.574505}"
22,"H35{2.531752, 0, 0.929346}"
22,"H45{3.138896, 0, 0.803739}"
23,"P0{0, 0, 0}"
23,"P1{-0.1453, 0, -1.1232}"
23,"S01{0.625369, 0, -1.473277}"
23,"H02{0.116569, 0, -0.274619}"
23,"H13{2.103555, 0, -2.144745}"
23,"H23{2.239886, 0, -1.229139}"
23,"H24{2.852802, 0, -1.50467}"
23,"H35{2.569235, 0, 0.982776}"
23,"H45{3.179439, 0, 0.872999}"
24,"P0{0, 0, 0}"
24,"P1{-0.1453, 0, -1.1232}"
24,"S01{0.650986, 0, -1.462139}"
24,"H02{0.121344, 0, -0.272543}"
24,"H13{2.127386, 0, -2.090567}"
24,"H23{2.267107, 0, -1.175472}"
24,"H24{2.886503, 0, -1.436112}"
24,"H35{2.604646, 0, 1.035207}"
24,"H45{3.217441, 0, 0.940962}"
25,"P0{0, 0, 0}"
25,"P1{-0.1453, 0, -1.1232}"
25,"S01{0.676405, 0, -1.450555}"
25,"H02{0.126082, 0, -0.270383}"
25,"H13{2.149313, 0, -2.037339}"
25,"H23{2.292421, 0, -1.122768}"
25,"H24{2.917756, 0, -1.368817}"
25,"H35{2.638139, 0, 1.086648}"
25,"H45{3.253085, 0, 1.007642}"
26,"P0{0, 0, 0}"
26,"P1{-0.1453, 0, -1.1232}"
26,"S01{0.701617, 0, -1.438529}"
26,"H02{0.130781, 0, -0.268142}"
26,"H13{2.169462, 0, -1.985045}"
26,"H23{2.315956, 0, -1.07101}"
26,"H24{2.946728, 0, -1.302765}"
26,"H35{2.669854, 0, 1.13711}"
26,"H45{3.286537, 0, 1.073057}"
27,"P0{0, 0, 0}"
27,"P1{-0.1453, 0, -1.1232}"
27,"S01{0.726616, 0, -1.426065}"
27,"H02{0.135441, 0, -0.265818}"
27,"H13{2.187948, 0, -1.933666}"
27,"H23{2.337831, 0, -1.020181}"
27,"H24{2.973573, 0, -1.237935}"
27,"H35{2.699919, 0, 1.186611}"
27,"H45{3.317949, 0, 1.137229}"
28,"P0{0, 0, 0}"
28,"P1{-0.1453, 0, -1.1232}"
28,"S01{0.751394, 0, -1.413166}"
28,"H02{0.14006, 0, -0.263414}"
28,"H13{2.204876, 0, -1.883183}"
28,"H23{2.358156, 0, -0.970261}"
28,"H24{2.998431, 0, -1.1743}"
28,"H35{2.72845, 0, 1.235168}"
28,"H45{3.347462, 0, 1.200185}"
29,"P0{0, 0, 0}"
29,"P1{-0.1453, 0, -1.1232}"
29,"S01{0.775943, 0, -1.399838}"
29,"H02{0.144636, 0, -0.26093}"
29,"H13{2.220344, 0, -1.833573}"
29,"H23{2.377031, 0, -0.92123}"
29,"H24{3.021433, 0, -1.111832}"
29,"H35{2.755554, 0, 1.282802}"
29,"H45{3.375203, 0, 1.261951}"
30,"P0{0, 0, 0}"
30,"P1{-0.1453, 0, -1.1232}"
30,"S01{0.800255, 0, -1.386082}"
30,"H02{0.149168, 0, -0.258366}"
30,"H13{2.234441, 0, -1.784813}"
30,"H23{2.394547, 0, -0.873064}"
30,"H24{3.042698, 0, -1.050503}"
30,"H35{2.78133, 0, 1.329533}"
30,"H45{3.401291, 0, 1.322556}"
31,"P0{0, 0, 0}"
31,"P1{-0.1453, 0, -1.1232}"
31,"S01{0.824324, 0, -1.371905}"
31,"H02{0.153654, 0, -0.255723}"
31,"H13{2.24725, 0, -1.73688}"
31,"H23{2.41079, 0, -0.825741}"
31,"H24{3.062335, 0, -0.990282}"
31,"H35{2.805869, 0, 1.375384}"
31,"H45{3.425833, 0, 1.382031}"
32,"P0{0, 0, 0}"
32,"P1{-0.1453, 0, -1.1232}"
32,"S01{0.848141, 0, -1.357309}"
32,"H02{0.158093, 0, -0.253002}"
32,"H13{2.258847, 0, -1.689749}"
32,"H23{2.425837, 0, -0.779236}"
32,"H24{3.080444, 0, -0.931139}"
32,"H35{2.829252, 0, 1.420376}"
32,"H45{3.448928, 0, 1.440405}"
33,"P0{0, 0, 0}"
33,"P1{-0.1453, 0, -1.1232}"
33,"S01{0.8717, 0, -1.342301}"
33,"H02{0.162485, 0, -0.250205}"
33,"H13{2.2693, 0, -1.643397}"
33,"H23{2.43976, 0, -0.733527}"
33,"H24{3.097118, 0, -0.873042}"
33,"H35{2.851557, 0, 1.464532}"
33,"H45{3.470668, 0, 1.497709}"
34,"P0{0, 0, 0}"
34,"P1{-0.1453, 0, -1.1232}"
34,"S01{0.894994, 0, -1.326883}"
34,"H02{0.166827, 0, -0.247331}"
34,"H13{2.278675, 0, -1.597799}"
34,"H23{2.452625, 0, -0.688589}"
34,"H24{3.112443, 0, -0.815963}"
34,"H35{2.872853, 0, 1.507873}"
34,"H45{3.491137, 0, 1.553972}"
35,"P0{0, 0, 0}"
35,"P1{-0.1453, 0, -1.1232}"
35,"S01{0.918015, 0, -1.311061}"
35,"H02{0.171118, 0, -0.244382}"
35,"H13{2.28703, 0, -1.552932}"
35,"H23{2.464493, 0, -0.644401}"
35,"H24{3.126498, 0, -0.759871}"
35,"H35{2.893206, 0, 1.550421}"
35,"H45{3.510411, 0, 1.609224}"
36,"P0{0, 0, 0}"
36,"P1{-0.1453, 0, -1.1232}"
36,"S01{0.940756, 0, -1.29484}"
36,"H02{0.175357, 0, -0.241358}"
36,"H13{2.29442, 0, -1.508772}"
36,"H23{2.475419, 0, -0.60094}"
36,"H24{3.139354, 0, -0.704736}"
36,"H35{2.912675, 0, 1.592196}"
36,"H45{3.528561, 0, 1.663495}"
37,"P0{0, 0, 0}"
37,"P1{-0.1453, 0, -1.1232}"
37,"S01{0.963211, 0, -1.278224}"
37,"H02{0.179542, 0, -0.238261}"
37,"H13{2.300895, 0, -1.465298}"
37,"H23{2.485455, 0, -0.558183}"
37,"H24{3.15108, 0, -0.650531}"
37,"H35{2.931315, 0, 1.63322}"
37,"H45{3.545655, 0, 1.716811}"
38,"P0{0, 0, 0}"
38,"P1{-0.1453, 0, -1.1232}"
38,"S01{0.985372, 0, -1.261219}"
38,"H02{0.183673, 0, -0.235091}"
38,"H13{2.306501, 0, -1.422487}"
38,"H23{2.49465, 0, -0.516109}"
